title,price,rating,reviews,availability,img,description,user
"𝟐𝟎𝟐𝟒 𝐔𝐩𝐠𝐫𝐚𝐝𝐞𝐝 JARGOU 3 in 1 Charging Station for iPhone 15/14/13/12 Series, Travel Charger for Multiple Devices for AirPods 3/2/Pro,Wireless Charger Magnetic Charging for for Apple Watch",39.,4.9 out of 5 stars,95 ratings,In Stock,https://m.media-amazon.com/images/I/81ZiiJn8eVL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    What is: It's a foldable, small, travelable, travel charger station! JARGOU charging station can charge for iPhone, for Apple watch, and for AirPods at the same time, charger station is simply a little helper to keep the desktop tidy! Exclusively designed for Apple fans!    Feature: It takes 3.5 hours to fully charge iPhone 14, and charging efficiency is accelerated by 22%. 3 in 1 wireless charging station also has many designs, such as over-current protection, over-voltage protection, over-temperature protection. More importantly, We've researched the wireless chargers on the market and got inspired by: Foldable phone stand, multiple charging methods, easy to carry, 3 in 1, colorful colors. We put these ideas into this charging station!    How to work: 3 in 1 wireless charging station equipped with a 47.2in Type-C cable, only need to connect the power to the device for charger. So enjoy the convenience of wireless charging!    Compatible models: JARJOU 3 in 1 charging station is compatible for iPhone 15/14/13/12 series, for iWatch 2/3/4/5/6/7/SE/Ultra/8/9/Ultra2, for AirPods 2/3/Pro.The magnetic attraction function is only for iPhone 12-15 and more.    Else: This is the only wireless charging station on the market that has a stand and is foldable for travel! Let me introduce to you the two feature of wireless charging station: the first is that our 3 in 1 wireless charging station stand has more functional designs at the same price, the second is the self-developed wireless charging station!    You will get: The accessories included in this wireless charging station are: 1 * charging station, 1 *Fast Adapter, 1 * USB Cable, 1 * Storage Box, 1 * User Manual. JARGOU 3 in 1 wireless charging station is also a gift for family and friends!",
"JISULIFE Handheld Mini Fan, 3 IN 1 Hand Fan, USB Rechargeable Small Pocket Fan [12-19 Working Hours] with Power Bank, Flashlight, Portable Fan for Travel/Summer/Concerts/Lash, Gifts for Women(Pink)",17.,4.6 out of 5 stars,"53,157 ratings",In Stock,https://m.media-amazon.com/images/I/51LrsAC9AOL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    【Small In Size, Big On Function】Featuring a Fan, Flashlight, and Backup Power Bank, the JISULIFE F8 pocket bear fan is your summer go-to essential for staying cool on hot days while offering versatile functionality to meet your diverse needs.    【12-19 Hours Cooling Time】With up to 19 hours of cooling time on a single charge, this mini handheld fan ensures you stay refreshed during travel, concerts, and outdoor adventures. Conveniently rechargeable via USB. Your cooling companion on summer vacation.    【A Palm-sized Backup Charger】Designed in a unique palm-sized form, the F8 portable fan easily fits into any bag for on-the-go convenience. Doubling as a backup power bank, it keeps your devices charged when needed, making it your travel and summer essentials.    【Also A Flashlight】Designed with a flashlight function. You may not look for a flashlight first but you will find that this is quite helpful when going out for a walk at night.    【3-Stage Transformable Fan】3-stage transformable design allows for easy storage with hidden blades, making it compact enough to carry in your pocket. Use it as a handheld fan at 180° fold or as a desktop fan at 270° fold for added versatility.    【Design Patent Protection】The JISULIFE F8 3-IN-1 Handheld Fan is safeguarded by a US Design Patent (Patent Number US D886,982 S).    【Your Travel Essential & Thoughtful Gifts】3 IN 1 Mini fan would be a partner for travel/concert/makeup/eyelash/commute/wedding/camping/home/office/school. It is also a gift for women/moms/girls/kids/parents/grandma/men/dads/boys/friends/Christmas/stocking stuffers for adults; cute gifts/cute things for girls. Disneyworld essentials/Disney must-haves for summer/summer trips/hot days; Summer gadgets for hot flash/face/skincare/makeup/eyelash/cruise ship/vocation/beach.",
"FYY Travel Cable Organizer Pouch Electronic Accessories Carry Case Portable Waterproof Double Layers All-in-One Storage Bag for Cord, Charger, Phone, Earphone Black",9.,4.5 out of 5 stars,"21,290 ratings",In Stock,https://m.media-amazon.com/images/I/81hLyL0rX2S.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Dimensions: The Size of the cable storage travel case: 7.5"" x 4.3"" x 2.2"". Compact size and lightweight make it easy to carry and put into your backpack, handbags or laptop bag without taking much space. Suitable for family use and daily organization. Please Note: The little net pockets can only fit no longer than 3ft charging cords, the charging cords which longer than 3ft, please put in the larger pockets.    Quality Material: This electronic organizer travel case made of high quality durable waterproof oxford and soft sponge inside to secure your gadgets in place and deliver a quick access whenever you want, a perfect case protects your electronics accessories.    Double Layers Design: The electronics storage bag has 2 layers interior compartment with enough space to take in your cords, cables, USB drive, cellphone, charger, mouse, flash drive, and other accessories.    Practical and Convenient: Comes with a comfortable hand strap for easy carrying; You may carry it in your hand when heading out. Durable and smooth zipper closure keeps your favorite device securely, convenient for you to have quick access to the items inside the case.    Portable and Lightweight: The small size and lightweight design durable cable organizer pouch is a perfect choice when going on holiday, business trip, travel, office. Great gift for yourself also a nice share with families and friends. (No include cords, electronic accessories)",
"Nezylaf Handheld Mini Fan, 3 Speeds Rechargeable Travel Fan[9-15 Working Hours], Portable USB Small Pocket Fan, Personal Fan with Power Bank for Women,Outdoor Travel essentials",8.,4.5 out of 5 stars,496,In Stock,https://m.media-amazon.com/images/I/51KgY8Wr+KL._AC_SY300_SX300_.jpg,"About this item    🧊【Super Long Endurance and Strong Airflow】- Low/high speed level. Adjust appropriate fan speed by pressing the power button repeatedly. Two gear which can be variable speed design provides you more choices in different temperature environment.    🧊【Portable Design and Mini Size】- The foldable design makes it easy to carry and store. Besides, with the oval shape(1.3*1.3*4.7 Inches, Weight: 4.4 Oz), this rechargeable fan can hide the fan blade, small and easy to slide into your pocket and purse, with no frame design, it makes noise low to 50db that causes no bother during work.    🧊【Safety Handheld Fan】- Made in special soft material, the fan blades are very safe. If you accidentally touch the rotating blades, the fan will automatically stop and keep you safe. Featuring with adorable look, this mini fan can also be a great gift choice for your family and friends. Cute, tiny, and useful gadgets for most people in summer. Packing List: Handheld fan x 1, Charging cable x 1, User manual x 1.    🧊【Customer Service】- Nezylaf provides professional customer service before and after purchase.We offer not only Best desk fan but also superb customer service.",
"Nearockle 24Pcs Silicone Cable Straps Cord Organizer for Bundling Earphone, Phone Charger, Computer Cords, Reusable Cable Ties Wire Organizer in Home,Office,Kitchen,School (4 Colors)",9.,4.7 out of 5 stars,"4,749 ratings",In Stock,https://m.media-amazon.com/images/I/71T6CBglgDL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    【SILICONE MATERIAL AND MULTI-FUNCTION】 Our ties are made of high-quality silicone, which brings us elasticity, wear resistance, easy-to-clean surface and ability of reusing. These excellent characteristics make our ties widely used. In addition to organize cables, they can also be using to seal pocket snacks, tie the umbrellas without straps, and even secure your hangers in the strong wind.    【THOUGHTFUL DESIGN】 Our Cable Strap with a round hole design, not only can put all kinds of thick and thin wires, convenient storage, but also can hang up the tied wire to save space. Moreover, the design of buckle makes our cable straps easier to open and close quickly, and they don't come off easily.    【SPECIAL SIZE FOR USING AND CARRYING】 This cable tie with 4.2-Inch length is unexpectedly suitable for earphone cable, data cable, mouse cable, audio cable, network cable and more. The size and the weight are small and light enough to carry away without any burden.    【SUFFICIENT QUANTITY AND MULTICOLOR】 24pcs in a pack, enough to get you through all the clutter in your life without any fear of loss. It also come up with multiple colors, which can bring you a classification of different cables. 4 colors in black, white, pink, and green provide you more choices in home, office, kitchen, school etc.    【WHAT YOU GET】 24pcs multi-function cable ties in black, white, pink, and green, and friendly customer service, your satisfaction is our top priority, any non-artificial quality problems, please feel free to contact us for free replacement or refund.    
›  See more product details",
"HOTOR Travel Toiletry Bag - Toiletry Bag w/Hanging Hook - Spacious Toiletry Bag for Women & Men, Makeup Bag/Big Comparment, Waterproof for Travel Accessories, Travel Essentials, Medium, Black",9.,4.6 out of 5 stars,42 ratings,Only 12 left in stock - order soon.,https://m.media-amazon.com/images/I/418kGAYsk-L._SX300_SY300_QL70_ML2_.jpg,"SPACIOUS YET COMPACT: HOTOR hanging toiletry bag strikes a perfect balance between spaciousness and compact design, measuring 11.4x9x3.35 inches when closed and expanding to a generous 37 x 9 inches when opened. This thoughtful sizing allows for the organization of large travel essentials such as shampoo, lotions, face wash, toothpaste, toothbrushes, hairbrushes, and daily makeup. Its medium size is particularly suitable for overnight or short trips.    MULTIPLE STORAGE COMPARTMENTS: Catering to the needs of women travelers, this travel toiletry bag for women boasts four main compartments, three of which are equipped with zippers for secure storage. The practical transparent pockets enable easy access to specific items without fully opening the bag. The innovative leakproof PVC pockets effectively segregate wet items from dry ones, accommodating a range of essentials from vitamins and makeup products to electronic devices and charging cables.    STURDY HOOK DESIGN: Featuring a premium metal hook, the HOTOR cosmetic travel bag offers the convenience of hanging from a towel rack, coat hook, or any available space. This not only showcases your toiletries and cosmetics for easy accessibility but also saves valuable bathroom counter space. The sturdy metal hook is designed with a retractable feature, allowing it to be neatly stowed away when not in use.    USER-FRIENDLY DESIGNS: Designed with user convenience in mind, this travel bag for toiletries incorporates supporting pads to maintain its shape and provide excellent protection for the items inside. Elastic straps keep toiletry bottles upright, preventing liquids from escaping and causing a mess. The reinforced zippers enhance durability and ensure smooth opening, adding to the overall user-friendly experience.    WATERPROOF & MULTIPURPOSE: Perfect for various scenarios, this hanging toiletry bag for women includes leakproof and waterproof PVC pockets suitable for bathroom use. Its compact, sturdy, portable, and lightweight nature makes it an ideal companion for business trips, travel, gym sessions, camping, and home use. The added convenience of a grab handle ensures easy portability, making it a travel must-have travel.",
5 Pack 3.4 oz Travel Bottles for Toiletries TSA Approved Leakproof Plastic Empty Travel Size Bottles Containers with Labels,5.,4.5 out of 5 stars,330 ratings,In Stock,https://m.media-amazon.com/images/I/61q6Ymgc97L.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Leakproof Design: The bottle mouth thread design is matched with disc top black caps lids to seal tightly and safe perfectly without liquid leakage.    Easy to Open: The disc-style lid lets you open and close with just a finger press, making it easy to dispense contents.    Waterproof Label: We will send a label that can mark the liquid for quick identification and avoid confusion.    TSA Approved: The bottles are lightweight, small and portable, making them perfect for air travel. They are also TSA approved for security purposes.    Multi-Use: These travel size empty bottles are perfect for vacation, business trip, beach, camping, party favors, and can store liquids and toiletries such as shampoo, conditioner, lotion, sunscreen, cosmetics.    
›  See more product details",
"Dr. Frederick's Original Better Blister Bandages - 12ct - Water Resistant - 25% More Cushioning - Hydrocolloid Bandages for Foot, Toe, & Heel - Blister Pads for Prevention & Recovery - Variety Pack",13.,4.4 out of 5 stars,"7,249 ratings",In Stock,https://m.media-amazon.com/images/I/61pIevs0KfL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Blister Prevention & Healing: With 25% more cushioning than similar products, Better Blister Bandages are the superior solution for blister prevention and foot pain. Our blister pads offer dual protection: preventing and healing painful blisters. We offer reliable foot blister protection, so you can pursue your passions, uninterrupted.    Water Resistant Protection: Once you apply a heel or toe bandage from our variety pack, the blister is protected from water, germs, sweat, and additional friction, even during the sweatiest hike or dance class.    Ultra-Sticky: Our customers have the best results applying the hydrocolloid bandage patches to clean, dry skin. The toe bandages are very sticky, and stay where you want them until they're done absorbing moisture from the blister.    Perfect for Daily Wear: Use these blister pad bandages as heel blister protectors. To mitigate blisters in business meetings or on the golf course, apply our blister kit to hot spots before you leave the house. Blisters are prevented before they can start!    A Commitment To Your Satisfaction: At Dr. Frederick's Original, we prioritize your satisfaction, which means creating the best possible products for you. We stand behind Better Blister Bandages with our industry-leading pledge. If our product doesn't help you get back to doing what you love, we're dedicated to finding a satisfactory solution",
"BESHON Flat Plug Power Strip, 3 Outlets with 3 USB Ports(2 USB C), Ultra Flat 3.2ft Wrapped Around Extension Cord for Cruise Ship, Travel, Dorm Room Essentials",12.,4.7 out of 5 stars,"2,154",In Stock,https://m.media-amazon.com/images/I/61chHJJsm3L.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    【Space Saving Flat Plug】With only 0.5-inch ultra slim design, flat wall plug is much thinner than traditional plugs, which can close to the wall easily, and hide in the back of furniture, bed or refrigerator, no waste for outlet and space.    【USB C Fast Charging Station】Added extra 2 USB C ports for devices, the USB C port can charge up to 5V/3A. USB-A ports can charge up to 5V/2.4A Max. Compatible with cell phones, cameras, laptops, power banks, and more USB devices.    【Compact for Travel】3.2ft retractable power cord which makes it easy to storage, Compact Size(5.5*3.4*1.8 in), and lightweight design to fit into luggage and bag The 3 additional USB ports help also get rid of your bulky adapters. Compact and lightweight, easy to carry, and best for travel.    【6 IN 1 Power Strip with USB-C】Flat extension cord with 3 AC outlets and 3 USB ports can power up 6 devices simultaneously (the actual current is decided by the demand for the devices). Compatible with your cellphone, laptop, tablet, earphone, or cameras without a variety of converters, keep your desktop organized, a must have accessories for colleague dorm room, home, office, bedroom, kitchen and etc.    【No Surge Protection】The small cruise power strip with NO SURGE PROTECTION, it's absolutely a must have Home and Cruise Ship accessories as Cruise lines require that power strips DO NOT have Surge Protection.",
"BAGSMART Travel Backpack for Women Men, 40L Flight Approved Carry on Backpack with Shoe Bag, TSA Large Personal Item Backpack with 17 Inch Laptop Compartment, Weekender Suitcase for Travel, Grey",39.,4.5 out of 5 stars,10 ratings,,https://m.media-amazon.com/images/I/81CI-246tNL.__AC_SX300_SY300_QL70_ML2_.jpg,"Spacious & Multi-Compartments: BAGSMART Travel Backpack is a versatile carry on backpack that features a generous size of 18.1"" x 12.6"" x 7.5"" providing a whopping 40L capacity. With multiple compartments including a Top external zipped pocket, zippered bottom pocket, front zippered pocket, separate laptop compartment, and bottle pocket, this backpack is a perfect companion for travelers seeking efficient storage solutions.    TSA-Friendly Design: Designed with a convenient 180° clamshell opening, our travel backpack ensures hassle-free security checks at airports. The smart design allows you to easily access your belongings whenever needed, making it an ideal backpack for travel enthusiasts.    Keep It Organized: Experience smart packing solutions with the BAGSMART Travel Backpack's clever storage design. Featuring clothing compartments, PVC waterproof pockets, mesh pockets, and two sock pockets for separating wet and dry clothes. The bonus shoe bag with a customizable attachment point adds further convenience without occupying interior backpack space.    Versatility On The Go: This backpack for travel offers diverse carrying options - wear it as a traditional backpack, carry it by hand, or conveniently attach it to your luggage handle for swift movement through airports. Its adaptability makes it an airplan-approved backpack suitable for various travel scenarios.    Comfort & Protection: Experience ultimate comfort with the Comfortable padded shoulder straps and Ventilated back panel of our backpack. The thick protective padding provides durability and protection for your belongings against unexpected impacts during your journeys.    What We Care: Here at BAGSMART, we strive to deliver the highest quality product we can to our customers. We are happy to offer an unconditional refund or replacement. If there are any quality problems, please do not hesitate. Contact us for a timely and satisfactory answer!",
"Apple iPhone 13 Pro, 128GB, Sierra Blue - Unlocked (Renewed)",5.,4.1 out of 5 stars,"3,171",Only 5 left in stock - order soon.,https://m.media-amazon.com/images/I/51UuPZLMaCL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    6.1"" Super Retina XDR display with ProMotion. 5G Superfast downloads, high-quality streaming    Cinematic mode in 1080p at 30 fps. Dolby Vision HDR video recording up to 4K at 60 fps. 6X Optical zoom range    A15 Bionic chip. New 6-core CPU with 2 performance and 4 efficiency cores. New 5-core GPU. New 16-core Neural Engine    Up to 22 hours video playback. Face ID. Ceramic Shield front. Surgical-grade stainless steel    Water resistant to a depth of 6 meters for up to 30 minutes. Compatible with MagSafe accessories and wireless chargers",
"Apple iPhone 12, 64GB, Black - Unlocked (Renewed Premium)",6.,4.2 out of 5 stars,"20,447",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/41bIlvE1rdL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Unlocked Compatibility: Works with GSM and CDMA networks like AT&T, T-Mobile, Sprint, Verizon, etc.    Battery Health: Tested for battery capacity over 90% of original    Minimal Cosmetic Damage: Inspected and guaranteed to have minimal visible damage    Complete Set: Includes charging cable, wall plug, and SIM tray removal tool    Satisfaction Guarantee: Backed by a one-year satisfaction guarantee",
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Unlocked (Renewed Premium)",11.,4.2 out of 5 stars,"8,225 ratings",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/51n-83C8HYL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).    Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.    Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.    Backed by a one-year satisfaction guarantee.",
"Apple iPhone 11, 64GB, Black - Unlocked (Renewed Premium)",6.,4.4 out of 5 stars,"2,692",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/71sc98Tb66S.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    This phone is compatible with carriers on the GSM network only (e.g. AT&T, T-Mobile, Metro).    Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.    Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.    Backed by the same one-year satisfaction guarantee as brand new Apple products.",
"Apple iPhone 11 Pro, 64GB, Silver - Fully Unlocked (Renewed Premium)",6.,4.2 out of 5 stars,"20,500 ratings",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/7182vuseLqS.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).    Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.    Backed by a one-year satisfaction guarantee, with free access to Amazon’s Technical Support team throughout the full year and ability to replace or return the product if it does not work as expected.    Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.",
"Apple iPhone 12 Pro Max, 512GB, Pacific Blue - Unlocked (Renewed Premium)",493.,4.2 out of 5 stars,"8,085",Only 1 left in stock - order soon.,https://m.media-amazon.com/images/I/71PU4CDxUwL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Unlocked: Compatible with any carrier on GSM and CDMA networks    Battery Health: Battery exceeds 90% of original capacity    Minimal Cosmetic Damage: Inspected and guaranteed to have minimal cosmetic damage    Complete Set: Includes charging cable, wall plug, and SIM tray removal tool    Satisfaction Guarantee: Backed by a one-year satisfaction guarantee",
"Apple iPhone SE, 64GB, Black - Fully Unlocked (Renewed Premium)",,4.3 out of 5 stars,"16,899 ratings",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/61JNofhHZZL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).    Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.    Backed by a one-year satisfaction guarantee, with free access to Amazon’s Technical Support team throughout the full year and ability to replace or return the product if it does not work as expected.    Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.",
"iPhone 13 Pro, 1TB, Silver - Unlocked (Renewed Premium)",5.,4.2 out of 5 stars,"1,379",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/617FFRO3vcL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    Unlocked    Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.    Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.    Backed by the same one-year satisfaction guarantee as brand new Apple products.",
"Apple iPhone 11 Pro Max, 64GB, Gold - Fully Unlocked (Renewed Premium)",6.,4.3 out of 5 stars,"15,479 ratings",Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/71v5v3awHCS.__AC_SY300_SX300_QL70_ML2_.jpg,"About this item    Unlocked Compatibility: This iPhone is compatible with any carrier on GSM and CDMA networks.    Battery Health: The battery has been tested and is guaranteed to exceed 90% of its original capacity.    Satisfaction Guarantee: Backed by a one-year satisfaction guarantee with free technical support and replacement options.    Complete Accessory Kit: Includes a charging cable, wall plug, and SIM tray removal tool.    Minimal Cosmetic Damage: Inspected and guaranteed to have minimal cosmetic damage that is not noticeable when held at arm's length.",
"Apple iPhone SE 3rd Gen, 64GB, Starlight - Unlocked (Renewed Premium)",12.,4.3 out of 5 stars,151,Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/61-MT8AQAPL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    4.7-inch Retina HD display. 5G capable    Advanced single-camera system with 12MP Wide camera; Smart HDR 4, Photographic Styles, Portrait mode, and 4K video up to 60 fps    7MP FaceTime HD camera with Smart HDR 4, Photographic Styles, Portrait mode, and 1080p video recording. Home button with Touch ID for secure authentication    A15 Bionic chip for lightning-fast performance. Durable design and IP67 water resistance    Up to 15 hours of video playback",
"Tracfone Apple iPhone SE 5G (3rd Generation), 64GB, Black - Prepaid Smartphone (Locked)",261.,3.4 out of 5 stars,36 ratings,Only 9 left in stock (more on the way).,https://m.media-amazon.com/images/I/61TOWf11+jL._AC_SY300_SX300_.jpg,"About this item    iPhone SE features an all-new camera system powered by A15 Bionic, with a 12-megapixel ƒ/1.8 aperture Wide camera that offers incredible computational photography benefits, including Smart HDR 4, Photographic Styles, Deep Fusion, and Portrait mode.    iPhone SE features the familiar Home button with Touch ID — an easy, private, and secure alternative for logging in to apps, authorizing App Store purchases, making Apple Pay transactions, and more.    64GB Built-In Memory    Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network.    A highly efficient chip, an enhanced battery, and iOS 15 work together to boost battery life.",
"Apple iPhone XS, US Version, 64GB, Gold - Verizon (Renewed)",179.,4.3 out of 5 stars,57 ratings,Only 1 left in stock - order soon.,https://m.media-amazon.com/images/I/51olawmWxPL.__AC_SX300_SY300_QL70_ML2_.jpg,"About this item    This device is locked to Verizon only and not compatible with any other carrier.    Tested for battery health and guaranteed to have a minimum battery capacity of 80%.    Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.    The device does not come with headphones or a SIM card. It does include a generic (Mfi certified) charger and charging cable.    Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length.",
New Simple Mobile Prepaid - Apple iPhone SE (64GB) - (Product) RED [Locked to Carrier - Simple Mobile],,3.4 out of 5 stars,5 ratings,Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/810DvHOZ9nL.__AC_SY445_SX342_QL70_ML2_.jpg,"About this item    Carrier - This phone is locked to simple Mobile from Tracfone, which means this Device can only be used on the Simple Mobile wireless network.    Plans - simple Mobile offers a variety of coverage plans, including 30-day unlimited Talk, text & data. No Activation Fees, No Credit Checks, and no Hassles On a Nationwide Lightning-fast Network. For more information or plan options, please visit the Simple Mobile website.    Activation - You’ll receive a simple Mobile SIM kit with this iPhone. Follow the instructions to get service activated with the simple Mobile plan of your choice.    4.7-inch Retina HD display    Water and dust resistant (1 meter for up to 30 minutes, IP67)    12MP Wide camera; Portrait mode, Portrait Lighting, Depth Control, next-generation Smart HDR, and 4K video    7MP front camera with Portrait mode, Portrait Lighting, and Depth Control    
   Touch ID for secure authentication and Apple Pay A13 Bionic chip with third-generation Neural Engine Fast-charge capable   Show more",
Apple iPhone 15 Plus (128 GB) - Black | [Locked] | Boost Infinite plan required starting at $60/mo. | Unlimited Wireless | No trade-in needed to start | Get the latest iPhone every year,,3.7 out of 5 stars,11 ratings,Currently unavailable.   We don't know when or if this item will be back in stock.,https://m.media-amazon.com/images/I/71QT5lUEhiL.__AC_SY445_SX342_QL70_ML2_.jpg,"About this item    WHAT'S INCLUDED You get the new iPhone 15 Plus, complete with unlimited talk, text, and data on America's Smart Network. We make it easy to keep your existing number or get a new one if you prefer. Best of all You can upgrade to the latest iPhone every year—no trade-in required to get started. Yes, seriously.    DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.    INNOVATIVE DESIGN — iPhone 15 Plus features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.7"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.    48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super high-resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.    NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.    POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life.    UNLIMITED WIRELESS Absolutely, all powered by America'a Smart Network. We brought together three of America's 5G networks to give you unparalleled nationwide coverage. Now, you benefit from the combined strength of not just one, but three networks, ensuring seamless connectivity wherever you are.    
   NEW iPHONE EVERY YEAR You got it. Your Infinite Access for iPhone plan comes with the perk of upgrading to the latest iPhone annually, courtesy of Boost Infinite. NO TRADE-IN REQUIRED That's right. Experience the convenience of having the newest iPhone delivered directly to your doorstep, with no trade-in required to get started. WHAT'S THE CATCH Believe it or not, there isn't one. This unbeatable deal you all these benefits under the Infinite Access for iPhone plan from Boost Infinite, starting at just Dollar 60 per month.   Show more",
